col_en,val_en,col_ar,val_ar
Type of living quarter,Semi-permanent housing units,نوع مكان الإقامة,وحدات السكن شبه الدائمة
Types of products/services,Clothing and footwear,نوع الخدمات/المنتجات,الملابس والأحذية
Types of products/services,Education,نوع الخدمات/المنتجات,التعليم
Types of products/services,Food and non-alcoholic beverages,نوع الخدمات/المنتجات,الأغذية والمشروبات
Types of products/services,Health,نوع الخدمات/المنتجات,الصحة
Types of products/services,"Housing, water, electricity, gas and other fuels",نوع الخدمات/المنتجات,الإسكان والمياه والكهرباء والغاز
Types of products/services,Total,نوع الخدمات/المنتجات,المجموع
Types of sewage disposal system,"All other arrangements —toilet empties into an open ditch, a pit, a river, the sea, and so forth",أنواع نظام التخلص من مياه الصرف الصحي,جميع الأشكال الأخرى — حيث يتم تفريغ المرحاض في قناة مفتوحة أو حفرة أو نهر أو البحر، وما إلى ذلك
Types of sewage disposal system,No disposal system,أنواع نظام التخلص من مياه الصرف الصحي,عدم وجود نظام تخلص
Types of sewage disposal system,No sewage disposal system,أنواع نظام التخلص من مياه الصرف الصحي,عدم وجود نظام تخلص من مياه الصرف الصحي
Types of sewage disposal system,Wastewater empties into a piped system connected to a public sewage disposal plant,أنواع نظام التخلص من مياه الصرف الصحي,تصريف مياه الصرف الصحي إلى نظام مجاري متصل بمحطة معالجة الصرف الصحي العامة
Types of sewage disposal system,"Wastewater empties into a piped system connected to an individual sewage disposal system (septic tank, cesspool)",أنواع نظام التخلص من مياه الصرف الصحي,تصريف مياه الصرف الصحي إلى نظام مجاري متصل بنظام تخلص فردي لمياه الصرف الصحي (صهريج صرف صحي، بئر امتصاص)
Value,,العدد,
Year,,السنة,
Chapter,Education,الفصل,التعليم
Chapter,Population,الفصل,سكان
Chapter,Labor,الفصل,عمالة
Chapter,Health,الفصل,الصحة
Chapter,Poverty,الفصل,الفقر
Chapter,Housing,الفصل,سكن
Educational sector,Total sector,القطاع,جميع القطاعات
Educational sector,Private,القطاع,خاص
Educational sector,Public,القطاع,عام
Source,IKN Survey 2011,المصدر,  مسح IKN 2011
Source,"Palestinian Central Bureau of Statistics, 2023: Labour Force Survey Database 2010-2022, Ramallah, Palestine.",المصدر, الجهاز المركزي للاحصاء الفلسطيني، 2023 : قاعدة بيانات مسح القوى العاملة 2010-2022 ، رام الله، فلسطين.
Source,Estimated data,المصدر, بيانات تقديرية
Source,Estimated data,المصدر, بيانات تقديرية 
Source,"Estimated data from the Labour Force Survey - General Authority for Statistics, Kingdom of Saudi Arabia",المصدر, بيانات تقديرية من مسح القوى العاملة  - الهيئة العامة للإحصاء المملكة العربية السعودية
Source,2022 Census,المصدر, تعداد 2022
Source,Iraq Labour Force Survey 2021,المصدر, مسح القوى العاملة في العراق 2021
Source,PCBS - The Status of the Rights of Palestinian Children 2025 AND Palestine in Figures 2025,المصدر,PCBS - The Status of the Rights of Palestinian Children 2025 AND فلسطين غي ارقام 2025
Source,Central Administration of Statistics - based on data from the Ministry of Interior and Municipalities - Directorate General of Personal Status,المصدر,إدارة الإحصاء المركزي -  بالاستناد الى بيانات وزارة الداخلية والبلديات -المديرية العامة للأحوال الشخصية
Source,Central Administration of Statistics - based on data from the Ministry of Interior and Municipalities - Directorate General of Personal Status,المصدر,إدارة الإحصاء المركزي - بالاستناد الى بيانات وزارة الداخلية والبلديات -المديرية العامة للأحوال الشخصية
Source,Central Administration of Statistics - Lebanon - National Household Budget Survey,المصدر,إدارة الإحصاء المركزي- لبنان- المسح الوطني لميزانية الأسرة
Source,Central Administration of Statistics - Lebanon - Labour Force and Household Living Conditions Survey,المصدر,إدارة الإحصاء المركزي- لبنان- مسح القوى العاملة والأحوال المعيشية للأسر
Source,Central Administration of Statistics - Lebanon - Child Labour Survey,المصدر,إدارة الإحصاء المركزي- لبنان- مسح عمالة الأطفال
Source,Central Administration of Statistics - Lebanon - Labour Force Follow-up Survey,المصدر,إدارة الإحصاء المركزي- لبنان- مسح متابعة القوى العاملة 
Source,IHSES 2014,المصدر,احساس 2014
Source,General Department of Fertility and Population Estimates - Central Agency for Public Mobilization and Statistics,المصدر,الإدارة العامة للخصوبة وتقديرات السكان - الجهاز المركزي للتعبئة العامة والاحصاء
Source,Vital Statistics,المصدر,الاحصاءات الحيوية
Source,Vital Statistics 2010,المصدر,الاحصاءات الحيوية 2010
Source,Population Projections 2005-2025,المصدر,الاسقاطات السكانية من 2005- 2025
Source,World Bank,المصدر,البنك الدولي
Source,Population data estimated at year-end for 2010-2022,المصدر,البيانات السكانية مقدرة لنهاية العام للسنوات 2010-2022
Source,"Age structure for the country as a whole based on the smoothed 2017 population in line with the population projections (2022/2072), based on the population estimates - Population Projections (2022/2072) - Central Agency for Public Mobilization and Statistics",المصدر,التركيب العمرى لاجمالى الجمهورية يعتمد على سكان 2017 الممهد وفقاً للاسقاطات السكانية (2072/2022) بناءً علي التقديرات السكانية - الاسقاطات السكانية (2072/2022) - الجهاز المركزي للتعبئة العامة والاحصاء
Source,Annual Statistical Report of Tunisia - National Institute of Statistics,المصدر,التشرية الإحصائية السنوية لتونس - المعهد الوطني للإحصاء
Source,Electronic Census 2020,المصدر,التعداد الالكتروني 2020
Source,Register-based Census 2021,المصدر,التعداد التسجيلي 2021
Source,Population Census,المصدر,التعداد السكاني
Source,"General Census of Population, Housing and Establishments 2017",المصدر,التعداد العام للسكان والإسكان والمنشآت 2017
Source,"General Census of Population, Housing and Establishments 2017, and the Income, Expenditure and Consumption Survey",المصدر,"التعداد العام للسكان والإسكان والمنشآت 2017 ,وبحث الدخل والانفاق والاستهلاك"
Source,General Population and Housing Census 2024,المصدر,التعداد العام للسكان والسكنة لسنة 2024
Source,General Population and Housing Census - National Institute of Statistics,المصدر,التعداد العام للسكان والسكنى - المعهد الوطني للإحصاء
Source,General Population and Housing Census 2014,المصدر,التعداد العام للسكان والسكنى سنة 2014
Source,General Population and Housing Census 2024 (Statistical Report on the Family and Living Conditions) - National Institute of Statistics,المصدر,التعداد العام للسكان والسكنى لسنة 2024  (نشرية إحصائية حول الأسرة وظروف العيش)- المعهد الوطني للإحصاء
Source,General Population and Housing Census 2024 (Statistical Report on Demographic Characteristics) - National Institute of Statistics,المصدر,التعداد العام للسكان والسكنى لسنة 2024 (تشرية إجصائية حول الخصائص الديمغرافية - المعهد الوطني للإحصاء
Source,General Population and Housing Census 2024 (Statistical Report on the Family and Living Conditions) - National Institute of Statistics,المصدر,التعداد العام للسكان والسكنى لسنة 2024 (نشرية إحصائية حول الأسرة وظروف العيش)-المعهد الوطني للإحصاء
Source,General Population and Housing Census 2024 (Statistical Report on Demographic Characteristics) - National Institute of Statistics,المصدر,التعداد العام للسكان والسكنى لسنة 2024 (نشرية إحصائية حول الخصائص الديمغرافية) - المعهد الوطني للإجصاء
Source,General Population and Housing Census 2024 (Statistical Report on Demographic Characteristics) - National Institute of Statistics,المصدر,التعداد العام للسكان والسكنى لسنة 2024 (نشرية إحصائية حول الخصائص الديمغرافية) - المعهد الوطني للإحصاء
Source,General Population and Housing Census 2024 - Statistical Report on Demographic Characteristics - National Institute of Statistics,المصدر,التعداد العام للسكان والسكنى لسنة 2024 - تشرية إحصائية حول الخصائص الديمغرافية - المعهد الوطني للإحصاء
Source,General Population and Housing Census,المصدر,التعداد العام للسكان والمساكن 
Source,General Population and Housing Census 2015 (31/11/2015),المصدر,التعداد العام للسكان والمساكن 2015 (2015/11/31)
Source,General Population and Housing Census 2015 (31/11/2015),المصدر,التعداد العام للسكان والمساكن 2015 (2015/11/31) 
Source,General Population and Housing Census 2015 (31/11/2015) http://www.dos.gov.jo/dos_home_a/main/population/census2015/HousingUnits/Housing_2.16.pdf,المصدر,التعداد العام للسكان والمساكن 2015 (2015/11/31) http://www.dos.gov.jo/dos_home_a/main/population/census2015/HousingUnits/Housing_2.16.pdf
Source,General Population and Housing Census 2015 (31/11/2015) - the data include non-Jordanians residing in the Kingdom,المصدر,التعداد العام للسكان والمساكن 2015 (2015/11/31) البيانات تشمل غير الاردنيين المقيمين داخل المملكة
Source,General Population and Housing Census in Iraq 2024,المصدر,التعداد العام للسكان والمساكن في العراق 2024
Source,General Population and Housing Census 2024,المصدر,التعداد العام للسكان والمساكن لسنة 2024
Source,"Population estimates of the Central Bureau of Statistics based on the base year of the most recent census, 2006",المصدر,التقديرات السكانية لمصلحة الاحصاء والتعداد حسب سنة الاساس لاخر تعداد سنة 2006 
Source,"Palestinian Central Bureau of Statistics, 2024. General Census of Population, Housing and Establishments 2017.",المصدر,الجهاز المركزي للإحصاء الفلسطيني 2024. التعداد العام للسكان والمساكن والمنشآت 2017.
Source,"Palestinian Central Bureau of Statistics, 2018. General Census of Population, Housing and Establishments 2017: Summary of the Final Census Results. Ramallah - Palestine.",المصدر,الجهاز المركزي للإحصاء الفلسطيني، 2018 . التعداد العام للسكان والمساكن والمنشآت 2017 : ملخص النتائج النهائية للتعداد. رام الله -  فلسطين.
Source,"Palestinian Central Bureau of Statistics, 2023. Labour Force Survey for the years 2010-2022. Ramallah - Palestine.",المصدر,الجهاز المركزي للإحصاء الفلسطيني، 2023.  مسح القوى العاملة و لللأعوام 2010- 2022. رام الله - فلسطين.
Source,"Palestinian Central Bureau of Statistics, 2023. Estimates based on the results of the Labour Force Survey and of the General Census of Population, Housing and Establishments for 2007 and 2022. Ramallah - Palestine.",المصدر,الجهاز المركزي للإحصاء الفلسطيني، 2023. تقديرات مبنية على نتائج مسح القوى العاملة ونتائج التعداد العام للسكان والمساكن والمنشآت لللأعوام 2022،2007. رام الله - فلسطين.
Source,"Palestinian Central Bureau of Statistics, 2024. Revised estimates based on the final results of the General Census of Population, Housing and Establishments, 2017. Ramallah - Palestine",المصدر,الجهاز المركزي للإحصاء الفلسطيني، 2024.  تقديرات منقحة مبنية على النتائج النهائية للتعداد العام للسكان والمساكن والمنشات، 2017.  رام الله - فلسطين
Source,"Palestinian Central Bureau of Statistics, 2024. Revised estimates based on the final results of the General Census of Population, Housing and Establishments, 2017. Ramallah - Palestine.",المصدر,الجهاز المركزي للإحصاء الفلسطيني، 2024.  تقديرات منقحة مبنية على النتائج النهائية للتعداد العام للسكان والمساكن والمنشات، 2017.  رام الله - فلسطين. 
Source,"Palestinian Central Bureau of Statistics, 2024. Marriage and Divorce Database, Ramallah - Palestine.",المصدر,الجهاز المركزي للإحصاء الفلسطيني، 2024.  قاعدة بيانات الزواج والطلاق ، رام الله-  فلسطين.
Source,"Palestinian Central Bureau of Statistics, 2025. Palestine Statistical Yearbook 2025. Ramallah - Palestine.",المصدر,الجهاز المركزي للإحصاء الفلسطيني، 2025.  كتاب فلسطين الاحصائي السنوي 2025. رام الله - فلسطين.
Source,Palestinian Central Bureau of Statistics. Data updated from the population register - Ministry of Interior.,المصدر,الجهاز المركزي للاحصاء الفلسطيني.  بيانات محدثة من واقع سجل السكان- وزارة الداخلية.
Source,"Palestinian Central Bureau of Statistics, 2023: Labour Force Survey Database 2010-2022, Ramallah, Palestine.",المصدر,الجهاز المركزي للاحصاء الفلسطيني، 2023 : قاعدة بيانات مسح القوى العاملة 2010-2022 ، رام الله، فلسطين.
Source,"Palestinian Central Bureau of Statistics, 2023. Palestinian Multiple Indicator Cluster Survey 2019-2020",المصدر,الجهاز المركزي للاحصاء الفلسطيني، 2023. المسح الفلسطيني العقودي متعدد المؤشرات 2019-2020
Source,"Palestinian Central Bureau of Statistics, 2024. Palestinian Multiple Indicator Cluster Survey 2014",المصدر,الجهاز المركزي للاحصاء الفلسطيني، 2024. المسح الفلسطيني العقودي متعدد المؤشرات 2014
Source,"Palestinian Central Bureau of Statistics, 2024. Palestinian Family Survey 2010",المصدر,الجهاز المركزي للاحصاء الفلسطيني، 2024. مسح الأسرة اللفلسطيني 2010
Source,Central Agency for Public Mobilization and Statistics - General Department of Fertility and Population Estimates,المصدر,الجهاز المركزي للتعبئة العامة والسكان - الإدارة العامة للخصوبة وتقديرات السكان
Source,Civil Status - National Institute of Statistics,المصدر,الحالة المدنية - المعهد الوطتي للإحصاء
Source,Civil Status - National Institute of Statistics,المصدر,الحالة المدنية - المعهد الوطني للإحصاء
Source,Labour Force 2020,المصدر,القوى العاملة 2020
Source,Labour Force 2021,المصدر,القوى العاملة 2021
Source,Statistical Yearbook,المصدر,الكتاب الإحصائي 
Source,Annual Statistical Yearbook,المصدر,الكتاب الاحصائي السنوي
Source,Sharia Courts,المصدر,المحاكم الشرعية
Source,Sharia Courts https://jorinfo.dos.gov.jo/Databank/pxweb/ar/Divorce_Marriage/Divorce_Marriage__Marrige/Table_5.px/table/tableViewLayout2/,المصدر,المحاكم الشرعية https://jorinfo.dos.gov.jo/Databank/pxweb/ar/Divorce_Marriage/Divorce_Marriage__Marrige/Table_5.px/table/tableViewLayout2/
Source,Federal Competitiveness and Statistics Centre,المصدر,المركز الاتحادي للتنافسية و الاحصاء
Source,Federal Competitiveness and Statistics Centre - Population Statistics 2000-2024,المصدر,المركز الاتحادي للتنافسية والاحصاء - إحصاءات السكان 2000-2024
Source,Federal Competitiveness and Statistics Centre - Birth Statistics 2024,المصدر,المركز الاتحادي للتنافسية والاحصاء - إحصاءات المواليد 2024
Source,Federal Competitiveness and Statistics Centre - Death Statistics 2024,المصدر,المركز الاتحادي للتنافسية والاحصاء - إحصاءات الوفيات 2024
Source,National Centre for Security and Crisis Management,المصدر,المركز الوطني للأمن وإدارة الأزمات
Source,"National Centre for Disaster Risk Reduction, and the United Nations database",المصدر,المركز الوطني للحد من مخاطر الكوارث، وقاعدة بيانات الامم المتحدة 
Source,Labour Force Survey 2022,المصدر,المسح اقوى العاملة 2022
Source,Comprehensive Survey,المصدر,المسح الشامل
Source,Comprehensive Survey,المصدر,المسح الشامل 
Source,Egypt Family Health Survey,المصدر,المسح الصحي للأسرة المصرية
Source,Multiple Indicator Cluster Survey (MICS) 2011-2012,المصدر,المسح العنقودي متعدد المؤشرات  2011 - 2012 MICS
Source,Multiple Indicator Cluster Survey (MICS) 2011-2012,المصدر,المسح العنقودي متعدد المؤشرات 2011 - 2012  MICS
Source,Multiple Indicator Cluster Survey (MICS) 2011-2012,المصدر,المسح العنقودي متعدد المؤشرات 2011 - 2012 MICS
Source,Multiple Indicator Cluster Survey (MICS) 2012,المصدر,المسح العنقودي متعدد المؤشرات 2012
Source,Multiple Indicator Cluster Survey (MICS) 2023,المصدر,المسح العنقودي متعدد المؤشرات 2023 MICS
Source,National Employment and Unemployment Survey 2010,المصدر,المسح الوطنى للتشغيل والبطالة لسنة 2010
Source,National Employment and Unemployment Survey 2012,المصدر,المسح الوطنى للتشغيل والبطالة لسنة 2012
Source,National Employment and Unemployment Survey 2013,المصدر,المسح الوطنى للتشغيل والبطالة لسنة 2013
Source,Libya National Family Health Survey 2014,المصدر,المسح الوطني الليبي لصحة الأسرة 2014
Source,"National Survey on Household Expenditure, Consumption and Living Standards - National Institute of Statistics",المصدر,المسح الوطني حول الانفاق والاستهلاك ومستوى عيش الأسر - المعهد الوطني للإحصاء
Source,National Employment Survey,المصدر,المسح الوطني حول التشغيل
Source,National Population and Employment Survey - National Institute of Statistics,المصدر,المسح الوطني حول السكان والتشغيل -  المعهد الوطني للإحصاء
Source,National Population and Employment Survey - National Institute of Statistics,المصدر,المسح الوطني حول السكان والتشغيل - المعهد الوطني للإحصاء
Source,National Population and Employment Survey - National Institute of Statistics,المصدر,المسح الوطني حول السكان والتشغيل - المعهد الوطني للحصاء
Source,National International Migration Survey 2020-2021,المصدر,المسح الوطني حول الهجرة الدولية 2020-2021
Source,National Child Labour Survey - National Institute of Statistics,المصدر,المسح الوطني حول تشغيل الأطفال - المعهد الوطني للإحصاء
Source,National Population and Employment Survey - National Institute of Statistics,المصدر,المسح الوطني للسكان والتشغيل - المعهد الوطني للإحصاء
Source,Survey on Employment and Unemployment,المصدر,المسح حول الشغل و البطالة
Source,Survey on Employment and Unemployment,المصدر,المسح حول الشغل والبطالة
Source,Multiple Indicator Cluster Survey (MICS) 2023,المصدر,المسخ العنقودي متعدد المؤشرات 2023 MICS
Source,Source,المصدر,المصدر
Source,Preliminary results of the National Labour Force Survey 2022,المصدر,النتائج الأولية للمسح الوطنى للقوى العاملة 2022
Source,Annual Bulletin of Birth and Death Statistics,المصدر,النشرة السنوية لإجصاءات المواليد والوفيات
Source,Annual Bulletin of Marriage and Divorce Statistics,المصدر,النشرة السنوية لإحصاءات الزواج والطلاق
Source,Annual Bulletin of Birth and Death Statistics,المصدر,النشرة السنوية لإحصاءات المواليد والوفيات
Source,Annual Bulletin of Birth and Death Statistics and the Egypt Family Health Survey,المصدر,النشرة السنوية لإحصاءات المواليد والوفيات والمسح الصحي للأسرة المصرية
Source,Annual Bulletin of Marriage and Divorce Statistics,المصدر,النشرة النسوية لاحصاءات الزواج والطلاق 
Source,Annual Statistical Report of Tunisia - National Institute of Statistics,المصدر,النشرية الإحصائية السنوية لتونس - المعهد الوطتي للإحصاء
Source,Annual Statistical Report of Tunisia - National Institute of Statistics,المصدر,النشرية الإحصائية السنوية لتونس - المعهد الوطني للإحصاء
Source,"Income, Expenditure and Consumption Survey",المصدر,بحث الدخل والانفاق والاستهلاك
Source,Labour Force Survey,المصدر,بحث القوى العاملة 
Source,Based on the population estimates - Population Projections (2022/2072) - Central Agency for Public Mobilization and Statistics,المصدر,بناءً علي التقديرات السكانية - الاسقاطات السكانية (2072/2022) - الجهاز المركزي للتعبئة العامة والاحصاء
Source,Social statistics data,المصدر,بيانات الاحصاء الاجتماعي
Source,Civil status data,المصدر,بيانات الحالة المدنية
Source,Estimated data,المصدر,بيانات تقديرية
Source,"Estimated data from the Labour Force Survey - General Authority for Statistics, Kingdom of Saudi Arabia",المصدر,بيانات تقديرية من مسح القوى العاملة  - الهيئة العامة للإحصاء المملكة العربية السعودية
Source,"Estimated data from the Labour Force Survey - General Authority for Statistics, Kingdom of Saudi Arabia",المصدر,بيانات تقديرية من مسح القوى العاملة - الهيئة العامة للإحصاء المملكة العربية السعودية
Source,2010 Census - Information and eGovernment Authority,المصدر,تعداد 2010 - هيئة المعلومات والحكومة الإلكترونية
Source,2020 Census - Information and eGovernment Authority,المصدر,تعداد 2020 - هيئة المعلومات والحكومة الإلكترونية
Source,2022 Census,المصدر,تعداد 2022
Source,"Population, Housing and Establishments Census 2017",المصدر,تعداد السكان والإسكان والمنشأت 2017
Source,Register-based Census 2021,المصدر,تعداد تسجيلي 2021
Source,Iraq population estimates,المصدر,تقديرات سكان العراق
Source,"Iraq population estimates and the General Population and Housing Census in Iraq, 2021 and 2024",المصدر,تقديرات سكان العراق لسنة والتعداد العام للسكان والمساكن في العراق 20242021
Source,Iraq population estimates for 2021,المصدر,تقديرات سكان العراق لسنة2021
Source,Iraq population estimates for 2021,المصدر,تقديرات سكان العراق لسنة2021 
Source,Iraq population estimates for 2021 and IHSES 2014,المصدر,تقديرات سكان العراق لسنة2021 واحساس 2014
Source,"Fertility rate estimates for Saudi women by five-year age group for the period 2011 to 2022 [births per 1,000 women]",المصدر,تقديرات معدل الخصوبة للسعوديات مع تصنيفه حسب الفئات العمرية ( 5 سنوات ) للفترة الزمنية من 2011 إلى 2022 [مواليد لكل 1000 امرأة]
Source,Estimates of the Information and eGovernment Authority,المصدر,تقديرات هيئة المعلومات والحكومة الإلكترونية
Source,Sustainable Development Goals Report,المصدر,تقرير أهداف التنمية المستدامة
Source,Population Projections Report issued by the Directorate of Population and Labour Force Statistics,المصدر,تقرير اسقاطات السكان الصادر من مديرية احصاءات السكان والقوى العاملة
Source,Demographic projections,المصدر,توقعات ديموغرافية
Source,Planning and Statistics Authority - Labour Force 2022,المصدر,جهاز التخطيط والاحصاء - القوى العاملة 2022
Source,Planning and Statistics Authority - Labour Force Survey 2011-2022,المصدر,جهاز التخطيط والاحصاء - مسح القوى العاملة 2011 - 2022 
Source,"Department of Statistics, Jordan Statistical Yearbook",المصدر,دائرة الإحصاءات العامة، الكتاب الإحصائي السنوي الأردن
Source,Department of Statistics,المصدر,دائرة الاحصاءات العامة
Source,Department of Statistics / Employment and Unemployment Survey,المصدر,دائرة الاحصاءات العامة / مسح العمالة والبطالة
Source,"Department of Statistics, Population and Family Health Survey",المصدر,دائرة الاحصاءات العامة ، مسح السكان والصحة الأسرية
Source,"Department of Statistics, Annual Statistical Yearbook",المصدر,دائرة الاحصاءات العامة، الكتاب الاحصائي السنوي
Source,"Department of Statistics, Population and Family Health Survey",المصدر,دائرة الاحصاءات العامة، مسح السكان والصحة الأسرية
Source,"Department of Statistics, Population and Family Health Survey",المصدر,دائرة الاحصاءات العامة، مسح السكان والصحة الأسريةدائرة الاحصاءات العامة، مسح السكان والصحة الأسرية
Source,"Department of Statistics, Labour Force Survey",المصدر,دائرة الاحصاءات العامة، مسح قوة العمل
Source,"Department of Statistics, Labour Force Survey",المصدر,دائرة الاحصاءات العامة،مسح قوة العمل
Source,Civil Status and Passports Department,المصدر,دائرة الاحوال المدنية والجوازات
Source,Central Statistical Organization / Yemen,المصدر,ديوان الجهاز المركزي للاحصاء / اليمن
Source,Not calculated by the Central Statistical Organization,المصدر,غير محتسبة من قبل الجهاز المركزي للاحصاء
Source,Palestine in Figures 2025,المصدر,فلسطين في ارقام 2025
Source,IKN Survey,المصدر,مسح IKN
Source,MICS Survey 2022-2023,المصدر,مسح MICS 2022- 2023
Source,MICS Survey 2022-2023,المصدر,مسح MICS 2022-2023
Source,MICS Survey 2022-2024,المصدر,مسح MICS 2022-2024
Source,MICS Survey 2022-2025,المصدر,مسح MICS 2022-2025
Source,MICS Survey 2022-2023,المصدر,مسح MICS2022 -2023
Source,MICS Survey 2022-2023,المصدر,مسح mics 2022-2023
Source,MICS Survey 2022-2024,المصدر,مسح mics 2022-2024
Source,MICS Survey 2022-2025,المصدر,مسح mics 2022-2025
Source,IHSES Survey 2024,المصدر,مسح احساس 2024
Source,IHSES Survey,المصدر,مسح الاحساس
Source,IHSES Survey 2012,المصدر,مسح الاحساس2012
Source,IHSES Survey 2014,المصدر,مسح الاحساس2014
Source,Food Security Survey,المصدر,مسح الامن الغذائي
Source,Food Security Survey 2016,المصدر,مسح الامن الغذائي2016
Source,Employment and Unemployment Survey 2013,المصدر,مسح التشغيل والبطالة 2013
Source,Employment and Unemployment Survey 2010,المصدر,مسح التشغيل والبطاله 2010
Source,Employment and Unemployment Survey 2012,المصدر,مسح التشغيل والبطاله 2012
Source,Demographic Characteristics Survey - General Authority for Statistics,المصدر,مسح الخصائص السكانية - الهيئة العامة للاحصاء
Source,Income and Expenditure Survey 2022,المصدر,مسح الدخل والانفاق 2022
Source,Income and Expenditure Survey 2022,المصدر,مسح الدخل والانفاق2022
Source,Labour Force Survey 2010,المصدر,مسح القبوى العاملة 2010
Source,Labour Force Survey 2010,المصدر,مسح القوى العاملة 2010
Source,Labour Force Survey 2012,المصدر,مسح القوى العاملة 2012
Source,Labour Force Survey 2013,المصدر,مسح القوى العاملة 2013
Source,Labour Force Survey 2013-2014,المصدر,مسح القوى العاملة 2013 -2014
Source,Labour Force Survey 2013-2015,المصدر,مسح القوى العاملة 2013 -2015
Source,Labour Force Survey 2021,المصدر,مسح القوى العاملة 2021
Source,Labour Force Survey 2022,المصدر,مسح القوى العاملة 2022
Source,Sample Labour Force Survey,المصدر,مسح القوى العاملة بالعينة
Source,Iraq Labour Force Survey 2021,المصدر,مسح القوى العاملة في العراق 2021
Source,Labour Force Survey 2022,المصدر,مسح القوى العاملة2022
Source,Labour Force Survey 2022,المصدر,مسح القوي العاملة 2022
Source,SWIFT Survey,المصدر,مسح سويفت
Source,SWIFT Survey 2017,المصدر,مسح سويفت2017
Source,Family Health Survey 2014,المصدر,مسح صحة الأسرة 2014
Source,Family Health Survey 2014,المصدر,مسح صحة الاسرة 2014
Source,Labour Force Survey,المصدر,مسح قوة العمل
Source,Labour Force Survey,المصدر,مسح قوة العمل 
Source,Multi-Sector Survey 2016,المصدر,مسح متعدد القطاعات 2016
Source,Household Income and Expenditure Survey,المصدر,مسح نفقات دخل الاسرة
Source,Central Bureau of Statistics,المصدر,مصلحة الاحصاء والتعداد 
Source,"Central Bureau of Statistics / constant growth rate based on the base year of the most recent general population census, 2006",المصدر,مصلحة الاحصاء والتعداد/ معدل نمو تابت على حسب سنة الاساس لاخر تعداد عام للسكان سنة 2006
Source,Civil Status Department,المصدر,مصلحة الاحوال المدنية
Source,Civil Status Department,المصدر,مصلحة الحالة المدنية
Source,International Labour Organization,المصدر,منظمة العمل الدولية
Source,National Registry System 2022,المصدر,منظومة السجلات الوطنية2022
Source,Marriage and Divorce Bulletin - General Authority for Statistics,المصدر,نشرة الزواج والطلاق - الهيئة العامة للإحصاء
Source,Information and eGovernment Authority,المصدر,هيئة المعلومات والحكومة الالكترونية
Source,Information and eGovernment Authority - 2010 Census,المصدر,هيئة المعلومات والحكومة الالكترونية - تعداد 2010
Source,Information and eGovernment Authority - 2020 Census,المصدر,هيئة المعلومات والحكومة الالكترونية - تعداد 2020
Source,Ministry of Health,المصدر,وزارة الصحة
Source,"Palestinian Ministry of Health, Annual Health Report, 2022.",المصدر,وزارة الصحة الفلسطينة، التقرير السنوي الصحي ، 2022.
Source,Ministry of Health and Prevention,المصدر,وزارة الصحة ووقاية المجتمع
Source,Ministry of Health / Causes of Death Bulletin,المصدر,وزارة الصحة/نشرة أسباب الوفيات
Source,"Ministry of Justice, Islamic Affairs and Endowments",المصدر,وزارة العدل والشؤون الإسلامية والاوقاف
Source,Ministry of Labour,المصدر,وزارة العمل
Source,According to the future population projections (2022-2072),المصدر,وفقا للاسقاطات السكانية المستقبلية (2022-2072)
Source,Household Income and Expenditure Survey,المصدر, مسح الدخل والانفاق الاسري 
Source,Household Income and Expenditure Survey 2022,المصدر, مسح الدخل والانفاق الاسري 2022
Source,IHSES 2024,المصدر,احساس 2024
Source,Central Administration of Statistics - poverty measurement based on the Household Budget Survey 2011/2012,المصدر,ادارة الاحصاء المركزي- قياس الفقر بالاستناد الى مسح ميزانية الأسرة 2011/2012
Source,Socio-Economic Survey of Households in Iraq 2024,المصدر,المسح الاجتماعي والاقتصادي للاسرة في العراق 2024
Source,National Survey on Household Consumption and Expenditure,المصدر,المسح الوطني حول استهلاك ونفقات الأسر
Source,"National Survey on Household Expenditure, Consumption and Living Standards - National Institute of Statistics",المصدر,المسح الوطني حول الإنفاق والاستهلاك ومستوى عيش الأسر - المعهد الوطني للإحصاء
Source,"National Survey on Household Expenditure, Consumption and Living Standards - National Institute of Statistics",المصدر,المسح الوطني حول الإنفاق والاستهلاك ومستوى عيش الأير - المعهد الوطني للإحصاء
Source,National Survey on Household Living Standards,المصدر,المسح الوطني حول مستوى معيشة الأسر
Source,National Survey on Sources of Income,المصدر,المسح الوطني حول مصادر الدخل
Source,"Income, Expenditure and Consumption Survey (every two years)",المصدر,بحث الدخل والانفاق والاستهلاك  (دورية كل سنتين)
Source,Household Expenditure and Income Survey,المصدر,مسح إنفاق ودخل الأسرة
Source,Household Expenditure and Income Survey,المصدر,مسح دخل وإنفاق الاسرة
Indicator,"Sex ratio, 2010-2025 (per 100 females)",المؤشر,نسبة الذكور إلى الإناث، 2010-2025 (لكل 100 أنثى)
Indicator,"Percentage of population by age group and by sex, 2024",المؤشر,التوزيع النسبي للسكان حسب الفئة العمرية والجنس، 2024
Age Group,<15 years,الفئة العمرية,أقل من 15 سنة
Age Group,65+ years,الفئة العمرية,65 سنة فأكثر
